quote,author,sentiment_class
“Fear kills more dreams than failure ever will.” – Suzy Kassem,,Failure
“Defeat is not the worst of failures. Not to have tried is the true failure.” – George Edward Woodberry,,Failure
“Part of being a man is learning to take responsibility for your successes and for your failures. You can’t go blaming others or being jealous. Seeing somebody else’s success as your failure is a cancerous way to live.” – Kevin Bacon,,Failure
“I’ve come to believe that all my past failure and frustrations were actually laying the foundation for the understandings that have created the new level of living I now enjoy.” – Anthony Robbins,,Failure
“Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time. The only people who never tumble are those who never mount the high wire.” – Oprah Winfrey,,Failure
"Remember that sometimes, not getting what you want is a wonderful stroke of luck.” — Dalai Lama",,Disappointment
“Disappointment is really just a term for our refusal to look on the bright side.” — Richelle E. Goodrich,,Disappointment
"“If we will be quiet and ready enough, we shall find compensation in every disappointment.” — Henry David Thoreau",,Disappointment
"“Sometimes, the bad things that happen in our lives put us directly on the path to the best things that will ever happen to us.” — Jeremiah Say",,Disappointment
“Disappointment is just the action of your brain readjusting itself to reality after discovering things are not the way you thought they were.” — Brad Warner,,Disappointment
"“The size of your success is measured by the strength of your desire, the size of your dream, and how you handle disappointment along the way.” — Robert Kiyosaki",,Disappointment
“Burning desire to be or do something gives us staying power—a reason to get up every morning or to pick ourselves up and start in again after a disappointment.” — Marsha Sinetar,,Disappointment
"“When you find your path, you must not be afraid. You need to have sufficient courage to make mistakes. Disappointment, defeat, and despair are the tools God uses to show us the way.” — Paulo Coelho",,Disappointment
Nothing hurts more than being disappointed by the single person you thought would never hurt you.”,,Disappointment
“Greet disappointment with cheerfulness. There is nothing like a spring in your step to dispel the ugly gloom.”,,Disappointment
"“If you’re betrayed, release disappointment at once. By that way, the bitterness has no time to take root.” ― Toba Beta",,Disappointment
"“Enthusiasm is followed by disappointment and even depression, and then by renewed enthusiasm.” ― Murray Gell",-Mann,Disappointment
"“You can’t really disappoint yourself. You can do stupid stuff that can lead you to bad consequences, but knowing that you are who you are can ease the pain.”",,Disappointment
"“When you go through a disappointment, when you go through a loss, don’t stop on that page. Keep moving forward.” ― Joel Osteen",,Disappointment
"“Let me tell you this: if you meet a loner, no matter what they tell you, it’s not because they enjoy solitude. It’s because they have tried to blend into the world before, and people continue to disappoint them.” ― Jodi Picoult",,Disappointment
"“Disappointment is a troll that follows you around the house, cluttering things you have put in order, moving the things you need around, and generally disrupting life. Best way to get rid of this pest is to face it head on and tell it to go away before it multiplies.”",,Disappointment
"“By identifying with our desires and taking them too seriously, we not only increase our susceptibility to disappointment, we actually create a climate inhospitable to the free and easy fulfillment of those desires.” ― Tom Robbins",,Disappointment
"“There’s only so many times you can allow someone to let you down before you will no longer tolerate being disappointed. When things go wrong between two people, something has got to give. You get to the point where you get tired of being the only one trying to fix things.” ― Brigitte Nicole",,Disappointment
Breaking someone’s trust is like crumpling up a perfect piece of paper. You can smooth it over but it’s never going to be the same again.,(Unknown),Disappointment
It’s funny how sometimes the people you’d take a bullet for are the ones behind the trigger.,(Unknown),Disappointment
He who throws away a friend is as bad as he who throws away his life.,"(Sophocles, Greek poet, 496-406 B.C.)",Disappointment
"Only trust thyself, and another shall not betray thee.","(William Penn, English theologian, 1644-1718)",Disappointment
It is more shameful to distrust our friends than to be deceived by them.,"(Confucius, Chinese philosopher, 551 B.C.-479 B.C.)",Disappointment
A false friend and a shadow attend only while the sun shines.,"(Benjamin Franklin, American politician, 1706-1790)",Disappointment
Determination becomes obsession and then it becomes all that matters” – Jeremy Irvine,,Determination
“Will power is to the mind like a strong blind man who carries on his shoulders a lame man who can see.” – Arthur Schopenhauer,,Determination
“The only good luck many great men ever had was being born with the ability and determination to overcome bad luck.” – Channing Pollock,,Determination
“Nothing can withstand the power of the human will if it is willing to stake its very existence to the extent of its purpose.” – Benjamin Disraeli,,Determination
“The man who goes farthest is generally the one who is willing to do and dare. The sure,-thing boat never gets far from shore.” – Dale Carnegie,Determination
“A determined soul will do more with a rusty monkey wrench than a loafer will accomplish with all the tools in a machine shop.” – Robert Hughes,,Determination
"“What you have to do and the way you have o do it is incredibly simple. Whether you are willing to do it, that’s another matter.” – Peter F. Drucker",,Determination
"“Willpower is the key to success. Successful people strive no matter what they feel by applying their will to overcome apathy, doubt or fear.” – Dan Millman",,Determination
"“Men who are resolved to find a way for themselves will always find opportunities enough; and if they do not find them, they will make them.” – Samuel Smiles",,Determination
“Willingness is essential in any initiation or in making any dream come true. “I can’t” often means “I won’t.” You can change “I won’t” to “I will” with will power.” – Marcia Wieder,,Determination
"“Construct your determination with sustained effort, controlled attention, and concentrated energy. Opportunities never come to those who wait… they are captured by those who dare to attack.” – Paul J. Meyer",,Determination
A river cuts through rock not because of its power but because of its persistence.” – Jim Watkins,,Determination
"“Never consider the possibility of failure; as long as you persist, you will be successful.” – Brian Tracy",,Determination
"“Never go backward. Attempt, and do it with all your might. Determination is power.” – Charles Simmons",,Determination
“You cannot swim for new horizons until you have the courage to lose sight of the shore.” – William Faulkner,,Determination
"“There are no secrets to success. It is the result of preparation, hard work, and learning from failure.” – Colin Powell",,Determination
“It does not matter how slowly you go as long as you do not stop.” ― Confucius,,Determination
"“Working hard, being patient, and being full of determination is perhaps the most fulfilling way of becoming rich.” – Robert Gardner",,Determination
"“Success means having the courage, the determination, and the will to become the person you believe you were meant to be.” – Unknown",,Determination
"“Changing a habit requires determination, perseverance, and strong willpower.” – Catherine Pulsifer",,Determination
“The most essential factor is persistence – the determination never to allow your energy or enthusiasm to be dampened by the discouragement that must inevitably come.” – James Whitcomb Riley,,Determination
“The most essential factor is persistence — the determination never to allow your energy or enthusiasm to be dampened by the discouragement that must inevitably come.” – James Whitcomb Riley,,Determination
"“A goal is not always meant to be reached, it often serves simply as something to aim at.” ― Bruce Lee",,Determination
Compassion is the basis of all morality.” – Albert Schopenhauer,,Compassion
"“The greatest degree of inner tranquility comes from the development of love and compassion. The more we care for the happiness of others, the greater is our sense of well",-being.” – Dalai Lama,Compassion
"“Compassion, in which all ethics must take root, can only attain its full breadth and depth if it embraces all living creatures and does not limit itself to mankind.” – Albert Schweitzer",,Compassion
“Compassion is the key to ultimate happiness and peace.” – Asma Naqi,,Compassion
“The best way to find yourself is to lose yourself in the service of others.” – Mahatma Gandhi,,Compassion
“When we practice loving,"-kindness and compassion, we are the first ones to profit.” – Rumi",Compassion
"“Compassion is not a luxury, it is a necessity. It is a precious human quality we all need.” – Dalai Lama",,Compassion
"“If you want to be happy, practice compassion. If you want others to be happy, practice compassion.” – Dalai Lama",,Compassion
“We can do no great things; only small things with great love.” – Mother Teresa,,Compassion
"“The whole idea of compassion is based on a keen awareness of the interdependence of all these living beings, which are all part of one another, and all involved in one another.” – Thomas Merton",,Compassion
“Compassion is not sympathy. Compassion is mercy. It is a commitment to take responsibility for the suffering of others.” – Joan Halifax,,Compassion
“Compassion is the ultimate expression of your highest self.” – Russell Simmons,,Compassion
"“In compassion, when we feel with the other, we dethrone ourselves from the center of our world and we put another person there.” – Karen Armstrong",,Compassion
“Compassion is an action word with no boundaries.” – Prince,,Compassion
“Compassion is the sometimes fatal capacity for feeling what it is like to live inside somebody else’s skin. It’s the knowledge that there can never really be any peace and joy for me until there is peace and joy finally for you too.” – Frederick Buechner,,Compassion
"Compassion is the key to humanity. Without it, we are diminished.” – John Connolly",,Compassion
"“Love and compassion are necessities, not luxuries. Without them, humanity cannot survive.” – Dalai Lama",,Compassion
“Your compassion is a blessing that touches the heart and soul of all who cross your path.” – Nikki Rowe,,Compassion
“The smallest act of kindness is worth more than the grandest intention.” – Oscar Wilde,,Compassion
“Compassion is the ultimate act of self,"-love. When you help others, you help yourself.” – Akiroq Brost",Compassion
Compassion is the antitoxin of the soul: where there is compassion even the most poisonous impulses remain relatively harmless.” – Eric Hoffer,,Compassion
Holding on to anger is like grasping a hot coal with the intent of throwing it at someone else; you are the one who gets burned.,- Buddha,Angry
Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.,- Maya Angelou,Angry
"The truth will set you free, but first it will piss you off.",- Gloria Steinem,Angry
"When angry, count four. When very angry, swear.",- Mark Twain,Angry
Speak when you are angry and you will make the best speech you will ever regret.,- Ambrose Bierce,Angry
"Get mad, then get over it.",- Colin Powell,Angry
It is wise to direct your anger towards problems — not people; to focus your energies on answers — not excuses.,- William Arthur Ward,Angry
"Usually when people are sad, they don't do anything. They just cry over their condition. But when they get angry, they bring about a change.",- Malcolm X,Angry
Anger is just anger. It isn't good. It isn't bad. It just is. What you do with it is what matters. It's like anything else. You can use it to build or to destroy. You just have to make the choice.,"- Jim Butcher, White Night",Angry
"Don't hold to anger, hurt or pain. They steal your energy and keep you from love.",- Leo Buscaglia,Angry
A man can't eat anger for breakfast and sleep with it at night and not suffer damage to his soul.,- Garrison Keillor,Angry
Anger at lies lasts forever. Anger at truth can't last.,- Greg Evans,Angry
"Anger makes dull men witty, but it keeps them poor.",- Elizabeth I,Angry
"“Anger is a momentary madness, so control your passion or it will control you.” – G. M. Trevelyan",,Angry
"“Anger, if not restrained, is frequently more hurtful to us than the injury that provokes it.” – Lucius Annaeus Seneca",,Angry
“Anger is a valid emotion. It’s only bad when it takes control and makes you do things you don’t want to do.” – Ellen Hopkins,,Angry
"“Anger ventilated often hurries toward forgiveness, and concealed often hardens into revenge.” – Edward G. Bulwer",-Lytton,Angry
"“Anger is never without a reason, but seldom with a good one.” – Benjamin Franklin",,Angry
“Anger is like flowing water; there’s nothing wrong with it as long as you let it flow.” – C. Joybell C.,,Angry
“Anger is just anger. It isn’t good. It isn’t bad. It just is. What you do with it is what matters. It’s like anything else. You can use it to build or to destroy. You just have to make the choice.” – Jim Butcher,,Angry
"“My heart beats faster as you take my hand, my love grows stronger as you touch my soul.” —A.C. Van Cherub",,Affection
“We lie in each other’s arms eyes shut and fingers open and all the colors of the world pass through our bodies like strings of fire.” —Marge Piercy,,Affection
"“You and I, it’s as though we have been taught to kiss in heaven and sent down to Earth together, to see if we know what we were taught.” —Boris Pasternak, Doctor Zhivago",,Affection
"“I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope … I have loved none but you.” —Jane Austen, Persuasion",,Affection
"“I am who I am because of you. You are every reason, every hope and every dream I’ve ever had.” —Nicholas Sparks, The Notebook",,Affection
"“Because of you, I can feel myself slowly, but surely, becoming the me I have always dreamed of being.” —Tyler Knott Gregson",,Affection
"“Ancient lovers believed a kiss would literally unite their souls, because the spirit was said to be carried in one’s breath.” —Eve Glicksman",,Affection
"“In all the world, there is no heart for me like yours. In all the world, there is no love for you like mine.” —Maya Angelou",,Affection
“There is always some madness in love. But there is also always some reason in madness.” ―Friedrich Nietzsche,,Affection
"“It isn’t possible to love and part. You will wish that it was. You can transmute love, ignore it, muddle it, but you can never pull it out of you. I know by experience that the poets are right: love is eternal.” —E.M. Forster,A Room with a View",,Affection
"“Love does not consist of gazing at each other, but in looking outward together in the same direction.” —Antoine de Saint",-Exupéry,Affection
"“Did my heart love till now? Forswear it, sight! / For I ne’er saw true beauty till this night.” —William Shakespeare, Romeo and Juliet",,Affection
“Love has nothing to do with what you are expecting to get—only with what you are expecting to give—which is everything.” —Katharine Hepburn,,Affection
"“If one day the moon calls you by your name don’t be surprised, because every night I tell her about you.” —Shahrazad al",-Khalij,Affection
"It is necessary to the happiness of man that he be mentally faithful to himself. Infidelity does not consist in believing, or in disbelieving, it consists in professing to believe what he does not believe.” ―Thomas Paine",,Happiness
"“Happiness is a gift and the trick is not to expect it, but to delight in it when it comes.” ―Charles Dickens",,Happiness
"“Happiness doesn't come from achievements, or money, or any sort of treasure. Happiness is a frame of mind, not a destination. It's appreciating what you've got and building relationships with those around you.” ―Janette Rallison",,Happiness
"“If you want to find happiness, find gratitude.” ―Steve Maraboli",,Happiness
“The secret of a happy life is respect. Respect for yourself and respect for others.” ―Ayad Akhtar,,Happiness
"“Happiness comes from living as you need to, as you want to. As your inner voice tells you to. Happiness comes from being who you actually are instead of who you think you are supposed to be.” —Shonda Rhimes",,Happiness
“We are all happy if we but knew it.” ―Fyodor Dostoyevsky,,Happiness
"“It is essential to happiness that our way of living should spring from our own deep impulses and not from the accidental tastes and desires of those who happen to be our neighbors, or even our relations.” ―Bertrand Russell",,Happiness
"“I've learned ....That when you harbor bitterness, happiness will dock elsewhere.” ―Andy Rooney",,Happiness
“You have to be willing to get happy about nothing,,Happiness
"When we learn how to become resilient, we learn how to embrace the beautifully broad spectrum of the human experience.”",― Jaeda Dewalt,Failure
"“Resilience is very different than being numb. Resilience means you experience, you feel, you fail, you hurt. You fall. But, you keep going.”",― Yasmin Mogahed,Failure
“We are not a product of what has happened to us in our past. We have the power of choice.”,― Stephen Covey,Failure
“Resilience is the ability to attack while running away.”,― Wes Fessler,Failure
“Resilience is based on compassion for ourselves as well as compassion for others.”,― Sharon Salzberg,Failure
“Courage doesn’t always roar. Sometimes courage is the quiet voice at the end of the day saying ‘I will try again tomorrow’.”,― Mary Anne Radmacher,Failure
“Turn your wounds into wisdom.”,― Oprah Winfrey,Failure
“Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time.”,― Thomas Edison,Failure
"“Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient.”","― Catherine DeVrye, The Gift of Nature",Failure
"“No one escapes pain, fear, and suffering. Yet from pain can come wisdom, from fear can come courage, from suffering can come strength – if we have the virtue of resilience.”","― Eric Greitens, Resilience",Failure
"The purpose of human life is to serve, and to show compassion and the will to help others.” – Albert Schweitzer",,Compassion
"“Compassion brings us to a stop, and for a moment we rise above ourselves.” – Mason Cooley",,Compassion
“Compassion is not a relationship between the healer and the wounded. It’s a relationship between equals. Only when we know our own darkness well can we be present with the darkness of others.” – Pema Chödrön,,Compassion
"“If you want others to be happy, practice compassion. If you want to be happy, practice compassion.” – Dalai Lama",,Compassion
“Compassion is the radicalism of our time.” – His Holiness Pope Francis,,Compassion
“Compassion is the keen awareness of the interdependence of all things.” – Thomas Merton,,Compassion
“You have not lived today until you have done something for someone who can never repay you.” – John Bunyan,,Compassion
“The closest thing to being cared for is to care for someone else.” – Carson McCullers,,Compassion
Even the genius asks questions.’ –Tupac Shakur,,Life Lesson
‘Expecting all children the same age to learn from the same materials is like expecting all children the same age to wear the same size clothing.’ –Madeline Hunter,,Life Lesson
"‘What you think, you become. What you feel, you attract. What you imagine, you create.’ –Buddha",,Life Lesson
"‘Transfer is important, but think first about the learner, then about their native environments. Then, further, let’s hope for the self","-initiated application of knowledge. Unprompted. Unformatted. The spontaneous, personal, and creative application of understanding in dynamic physical and digital environments.’ –Terry Heick",Life Lesson
‘The human mind is our fundamental resource.’ –John F. Kennedy,,Life Lesson
‘All of the books in the world contain no more information than is broadcast as video in a single large American city in a single year. Not all bits have equal value.’ –Carl Sagan,,Life Lesson
"‘The quieter you become, the more you can hear.’ –Buddha",,Life Lesson
‘Intelligence is the ability to adapt to change.’ –Stephen Hawking,,Life Lesson
‘Ideas without action aren’t ideas. They’re regrets.’ –Steve Jobs,,Life Lesson
"‘It may be that when we no longer know what to do, we have come to our real work, and when we no longer know which way to go, we have begun our real journey.",,Life Lesson
‘The mind that is not baffled is not employed. The impeded stream is the one that sings.’–Wendell Berry,,Life Lesson
"‘There are four powers: memory and intellect, desire and covetousness. The two first are mental and the others sensual. The three senses sight, hearing, and smell cannot well be prevented; touch and taste not at all.’ –Leonardo Da Vinci",,Life Lesson
"Real friendship, like real poetry, is extremely rare — and precious as a pearl.” — Tahar Ben Jelloun",,Affection
"Tis the privilege of friendship to talk nonsense, and to have her nonsense respected.” — Charles Lamb",,Affection
A true friend never gets in your way unless you happen to be going down.” — Arnold H. Glasgow,,Affection
Best friends don’t care if your house is clean. They care if you have wine.”,,Affection
"If you are ever lucky enough to find a weirdo, never let them go.” — Matthew Gray Gubler",,Affection
"Friendship is always a sweet responsibility, never an opportunity.” — Khalil Gibran",,Affection
My best friend is the one who brings out the best in me.” — Henry Ford,,Affection
"You are my best friend, my human diary, and my other half. You mean the world to me and I love you.”",,Affection
"“There is nothing better than a friend, unless it is a friend with chocolate.” — Linda Grayson",,Affection
“Nothing but heaven itself is better than a friend who is really a friend.” — Plautus,,Affection
If only. Those must be the two saddest words in the world.” – Mercedes Lackey,,Regret
Make it a rule of life never to regret and never to look back. Regret is an appalling waste of energy; you can't build on it; it's only good for wallowing in.” – Katherine Mansfield,,Regret
"The only things I regret, and the only things I'll ever regret are things I didn't do. In the end, that's what we mourn. The paths we didn't take. The people we didn't touch.” – Scott Spencer",,Regret
Don't live your life regretting yesterday. Live your life so tomorrow you won't regret today.” – Catherine Pulsifer,,Regret
"Don't allow yourself to become one who, nearing death, regrets what you might have done if only you had taken a few risks We each have a purpose in life.” – Gillian Stokes",,Regret
“Regrets are not inherited. Regrets are those elements of life that seek to undermine our enthusiasm and our willingness to assume a life filled with new discoveries and the attainment of goals. Let not your regrets be your undoing but instead your vehicle to learn from what did not work.” – Byron Pulsifer,,Regret
"“Never regret anything from your past because one day, you'll look back and thank it for hurting you so much that you decided to become a stronger human being.” – Faith Star",,Regret
"“Have no regrets. The elderly usually don't have regrets for what we did, but rather for things we did not do. The only people who fear death are those with regrets.” – Unknown",,Regret
"“A great source of calamity lies in regret and anticipation; therefore a person is wise who thinks of the present alone, regardless of the past or future.” – Oliver Goldsmith",,Regret
"“We cannot always change what has happened to us, but we can change how we react and how we live in the future. Living with no regrets is living successfully.” – Dr. Ellen Taricani",,Regret
"“Regret, remorse, sorrow all emotions that can result in negative feelings. Only you can change your emotions to positive ones, you cannot change the past but you can change the future” – Catherine Pulsifer",,Regret
"Until you're ready to look foolish, you'll never have the possibility of being great.","- Cher, musician and businesswoman",Leadership
Earn your leadership every day.,"- Michael Jordan, basketball great and NBA team owner",Leadership
"In order to cultivate a set of leaders with legitimacy in the eyes of the citizenry, it is necessary that the path to leadership be visibly open to talented and qualified individuals of every race and ethnicity.","- Sandra Day O'Connor, former U.S. Supreme Court justice",Leadership
"I raise up my voice — not so I can shout, but so that those without a voice can be heard.","- Malala Yousafzai, Nobel Prize laureate and advocate for women's education",Leadership
"The best executive is the one who has sense enough to pick good men to do what he wants done, and self-restraint to keep from meddling with them while they do it.","- Theodore Roosevelt, 26th President of the United States",Leadership
"Don't follow the crowd, let the crowd follow you.","- Margaret Thatcher, British Prime Minister (1979-1990)",Leadership
The greatest leader is not necessarily the one who does the greatest things. He is the one that gets the people to do the greatest things.,"- Ronald Reagan, 40thPresident of the United States",Leadership
"To handle yourself, use your head. To handle others, use your heart.","- Eleanor Roosevelt, former First Lady, diplomat and activist",Leadership
"Whatever you are, be a good one.","- Abraham Lincoln, 16th President of the United States",Leadership
I feel that the best companies are started not because the founder wanted a company but because the founder wanted to change the world.,"- Mark Zuckerberg, Facebook founder",Leadership
"To be one, to be united is a great thing. But to respect the right to be different is maybe even greater.","- Bono, musician",Leadership
The only limit to our realization of tomorrow will be our doubts of today.” – Franklin D. Roosevelt,,Success
"“Success seems to be connected with action. Successful people keep moving. They make mistakes, but they don’t quit.” – Conrad Hilton",,Success
"“It’s not whether you get knocked down, it’s whether you get up.” – Vince Lombardi",,Success
"“Some people dream of success, while others wake up and work hard at it.” – Napoleon Hill",,Success
“All successes begin with self,-discipline. It starts with you.” – Dwayne “The Rock” Johnson,Success
“Many of life’s failures are people who did not realize how close they were to success when they gave up.” – Thomas Edison,,Success
“The secret of success is to do the common thing uncommonly well.”  –  John D. Rockefeller Jr.,,Success
“You are never too old to set another goal or to dream a new dream.” – C.S. Lewis,,Success
“The secret to success is to know something nobody else knows.” – Aristotle Onassis,,Success
“Without self,"-discipline, success is impossible, period.” – Lou Holtz",Success
"Your anger is telling you something. Listen to it, but don’t let it control you.”",,Angry
“Don’t let anger consume you; use it as fuel for positive change.”,,Angry
"“Anger is like a flame; if not carefully tended, it can consume everything in its path.”",,Angry
“The only thing more dangerous than anger is the regret that comes from acting on it.”,,Angry
"“Anger is a powerful emotion, but it’s what you do with it that matters.”",,Angry
"“Anger can be a catalyst for change, but only if you harness its energy wisely.”",,Angry
“Letting go of anger doesn’t mean you condone the actions of others; it means you refuse to let them define your peace.”,,Angry
"“Anger is often a sign of fear or insecurity. Address the root cause, and the anger will dissipate.”",,Angry
"“The greatest victory is conquering oneself. Learn to master your anger, and you’ll conquer the world.”",,Angry
“Anger is a burden best left behind. Choose forgiveness and find freedom.”,,Angry
“Success is measured by your discipline and inner peace.” – Mike Ditka,,Success
"“In the end, the money and success that truly last come not to those who focus on such things as goals, but rather to those who focus on mastery and fulfilling their Life’s Task.” –  Robert Greene",,Success
“I could only achieve success in my life through self,"-discipline, and I applied it until my wish and my will became one.” – Nikola Tesla",Success
"“If one advances confidently in the direction of one’s dreams, and endeavors to live the life which one has imagined, one will meet with a success unexpected in common hours.” – Henry David Thoreau",,Success
"“What really makes successful entrepreneurs is not the nature of their idea, or the university they went to , but their actual character – their willingness to adapt their ideas and take advantage of possibilities they had not first imagined.” – Robert Greene",,Success
"“Where success is concerned, people are not measured in inches, or pounds, or college degrees, or family background: they are measured by the size of their thinking.” –  David J. Schwartz",,Success
“You will never have a greater or lesser dominion than that over yourself…the height of a man’s success is gauged by his self-mastery; the depth of his failure by his self,-abandonment. …And this law is the expression of eternal justice. He who cannot establish dominion over himself will have no dominion over others.” – Leonardo da Vinci,Success
"“Success is nothing more than a few simple disciplines, practiced every day.” – Jim Rohn",,Success
"“Disciplined, consistent, and persistent actions are more of a determining factor in the creation of success than any other combination of things.” –  Grant Cardone",,Success
“Success is a pile of failure that you are standing on.” – Dave Ramsey,,Success
"“Disappointment may linger, but it can never extinguish the flame of your inner strength.”",,Disappointment
"“In the face of disappointment, choose to dance in the rain and celebrate the gift of life’s challenges.”",,Disappointment
“Disappointment is the canvas on which you can paint your masterpiece of resilience and determination.”,,Disappointment
“Let disappointment be the bridge that connects you to your true purpose and passion.”,,Disappointment
"“When disappointment knocks you down, rise with unwavering resolve and forge ahead.”",,Disappointment
“Disappointment is the dark cloud that brings the silver lining of wisdom and growth.”,,Disappointment
“In disappointment lies the spark that ignites your determination to rewrite your destiny.”,,Disappointment
“Disappointment is not a destination; it’s a launching pad for a journey of transformation.”,,Disappointment
"“When disappointment casts a shadow, let the light of hope guide you towards a brighter future.”",,Disappointment
"“Disappointment tests your mettle, revealing the strength that resides within you.”",,Disappointment
“Let disappointment be the fertile ground where perseverance and resilience take root.”,,Disappointment
“Disappointment is the fuel that propels you towards the fulfillment of your dreams.”,,Disappointment
"“In disappointment, find the courage to pursue the uncharted waters of your potential.”",,Disappointment
“Embrace disappointment as a stepping stone on the path to extraordinary achievement.”,,Disappointment
"“When disappointment knocks, don’t shut the door, but rather, welcome it as an opportunity for growth.”",,Disappointment
"“Disappointment is a chapter, not the entire story. Keep turning the pages of hope and determination.”",,Disappointment
“The true measure of character is how you handle disappointment and bounce back with greater resolve.”,,Disappointment
"“Disappointment is a road less traveled, but it leads to destinations of unimaginable strength.”",,Disappointment
“Let disappointment be the catalyst that propels you towards your purpose and passion.”,,Disappointment
"“In the face of disappointment, sow the seeds of perseverance to reap the harvest of triumph.”",,Disappointment
“Disappointment can be a stumbling block or a stepping stone; the choice is yours.”,,Disappointment
“Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.” – Sydney Harris,,Regret
“There is no point in regretting for things that have happened but it makes a big difference to think about a solution or idea to change the unexpected outcome or effects of the choices made.” – Lindsay Hallie,,Regret
"“First, imagine taking the potentially regret – producing path of inaction. Then imagine what the very best outcome would be were you to take this risk. By picturing both scenarios in advance, you can avoid the regret of what might have been.” – Wayne Dyer",,Regret
"“When one door closes another door opens; but we so often look so long and so regretfully upon the closed door, that we do not see the ones which open for us.” – Alexander Graham Bell",,Regret
"“It is not the experience of Today that drives a person mad, it is the remorse or bitterness of something which happened Yesterday and the dread of what Tomorrow may bring.” – Unknown",,Regret
“We must all suffer from one of two pains: the pain of discipline or the pain of regret. The difference is discipline weighs ounces while regret weighs tons.” – Jim Rohn,,Regret
"“If we don't deal with the roots of our regrets, if we don't make the choice to start over, the costs of what we're missing out on can be enormous and will accrue exponentially over time.” – Dave Ferguson",,Regret
"“The longer our trail of regrets, the more we tend to value the importance of making wise decisions.” – Bob Santos",,Regret
“Most of us have had regrets and recognize how they can hold us back or keep us stuck in life and relationships. Getting past “the Past” is important for anyone desiring to live beyond mistakes and the problems they make.” – Ron Neff,,Regret
"I do not know anyone who has got to the top without hard work. That is the recipe. It will not always get you to the top but should get you pretty near. – Margaret Thatcher,",,Determination
"“The price of success is hard work, dedication to the job at hand, and the determination that whether we win or lose, we have applied the best of ourselves to the task at hand.” – Vince Lombardi",,Determination
"The road to success is not easy to navigate, but with hard work, drive, and passion, it’s possible to achieve the American dream. – Tommy Hilfiger",,Determination
"“When you are willing to replace mundane excuses with hard work and your laziness with determination, nothing can prevent you from succeeding.”― Dr. Prem Jagyasi",,Determination
"“A dream doesn’t become reality through magic; it takes sweat, determination, and hard work.” Colin Powell",,Determination
"The path may be hard to move on, It may be full of obstacles, It may hurt your whole body, It may sore your beautiful feet, But don’t ever hesitate to move on. Your attitude and determination help you succeed.",,Determination
"“I am not judged by the number of times I fail, but by the number of times I succeed: and the number of times I succeed is in direct proportion to the number of times I fail and keep trying.” – Tom Hopkins",,Determination
"I will fly if you stop pulling me down to the ground, every single time. And maybe someday, when I’m strong enough I’ll pull you up too, with all my might.",,Determination
“If you are persistent you will get it. If you are consistent you will keep it.”,,Determination
“I determined never to stop until I had come to the end and achieved my purpose.” – David Livingstone,,Determination
“I detetmined never to stop until I had come to the end and achieved my purpose.”– David Livingstone,,Determination
"The Law of Win/Win says, 'Let's not do it your way or my way; let's do it the best way'."" Greg Anderson",,Leadership
"There's been a quantum leap technologically in our age, but unless there's another quantum leap in human relations, unless we learn to live in a new way towards one another, there will be a catastrophe."" Albert Einstein",,Leadership
"No pressure, no diamonds."" Mary Case",,Leadership
"When one ceases from conflict, whether because he has won, because he has lost, or because he cares no more for the game, the virtue passes out of him."" Charles Horton Cooley",,Leadership
"The more we run from conflict, the more it masters us; the more we try to avoid it, the more it controls us; the less we fear conflict, the less it confuses us; the less we deny our differences, the less they divide us."" David Augsburger",,Leadership
"There are two ways of meeting difficulties: You alter the difficulties or you alter yourself meeting them."" Phyllis Bottome",,Leadership
"Every conflict we face in life is rich with positive and negative potential. It can be a source of inspiration, enlightenment, learning, transformation, and growth","-or rage, fear, shame, entrapment, and resistance. The choice is not up to our opponents, but to us, and our willingness to face and work through them."" Kenneth Cloke and Joan Goldsmith",Leadership
"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict."" William Ellery Channing",,Leadership
"The aim of argument and of discussion, should not be victory, but progress."" Joseph Joubert",,Leadership
"Effective teamwork will not take the place of knowing how to do the job or how to manage the work. Poor teamwork, however, can prevent effective final performance. And it can also prevent team members from gaining satisfaction in being a member of a team and the organization."" Robert F. Bales",,Leadership
"Wild ducks make a lot of noise, but they also have the sense to benefit from occasionally flying in formation."" Unknown",,Leadership
“No one knows everything. No one knows nothing. Everyone has a piece of the puzzle.” — Lama Surya Das,,Life Lesson
"“The more I learn, the more I realize how much I don’t know.” — Albert Einstein",,Life Lesson
"“The more you know, the less you understand.” — Lao Tzu",,Life Lesson
"“I know one thing, and that is that I know nothing.” — Socrates",,Life Lesson
“Question everything. Learn something. Answer nothing.” — Euripides,,Life Lesson
"“The public have an insatiable curiosity to know everything, except what is worth knowing.” — Oscar Wilde",,Life Lesson
“The best thing a human being can do is to help another human being know more.” — Charlie Munger,,Life Lesson
“In a time of drastic change it is the learners who inherit the future. The learned usually find themselves equipped to live in a world that no longer exists.” — Eric Hoffer,,Life Lesson
“Change is the end result of all true learning.” — Leo Buscaglia,,Life Lesson
